"category","desc","detailUrl","img","status","students","title","vip"
"ios应用开发","从想法到创意，从创意到执行，从思路到细节。想要把你的设计能力发挥到实际工作中，你需要的不仅仅是软件和铅笔，一套优秀的工作方法同样重要。
本课程带你从完整的项目中学习真正的职业化设计师工作流程和方法。","http://www.maiziedu.com/course/701/","http://www.maiziedu.com/uploads/course/2017/04/APPsheji.png","end","22731","MUI项目实训-社交APP的设计","normal"
"ios应用开发","swift2.0-iOS玩转UIKit","http://www.maiziedu.com/course/710/","http://www.maiziedu.com/uploads/course/2016/04/swift2.jpg","end","42241","swift2.0-iOS玩转UIKit","normal"
"ios应用开发","清楚一款新闻APP诞生前后，作为一个设计师所起到的作用以及在这个APP诞生的过程中设计师需要掌握的一些设计技能和产品思维方式。","http://www.maiziedu.com/course/750/","http://www.maiziedu.com/uploads/course/2016/04/app.png","end","12365","新闻类APP项目设计","vip"
"ios应用开发","通过实战iMessage应用来深入学习与掌握UITableView控件的使用技巧，课程中将深入浅出的介绍基于表格视图应用程序界面的数据模型设计、cell搭建与设置、布局的自适应、表格视图编辑与分区、调用系统通讯录，相册等知识。 ","http://www.maiziedu.com/course/754/","http://www.maiziedu.com/uploads/course/2016/04/iMessages.png","end","16452","仿iMessages聊天界面开发 ","vip"
"ios应用开发","ios图片浏览器","http://www.maiziedu.com/course/767/","http://www.maiziedu.com/uploads/course/2016/04/2.jpg","end","5046","ios图片浏览器","vip"
"ios应用开发","开发一个应用很容易，开发一款便于维护又便于扩展的应用很难。这门课程以模仿网易新闻客户端首页为引子，带你进入到规范化的，工程化的应用开发流程中，在教会你基本的功能及页面的实现的同时也教会你如何写出便于维护的代码。","http://www.maiziedu.com/course/768/","http://www.maiziedu.com/uploads/course/2016/04/UIKitlx.png","end","17683","UIKit练习-仿网易新闻首页","vip"
"ios应用开发","本节课程将会教给大家UITableView的使用，如何定制Cell，如何计算Cell的高度，如何做图文混排以及如何在项目中灵活地使用Swift2.0进行编程。","http://www.maiziedu.com/course/770/","http://www.maiziedu.com/uploads/course/2016/04/UIKitlx.jpg","end","10601","UIKit练习课程-仿微博界面","vip"
"ios应用开发","Swift是Apple公司2014年推出的开发语言，之后不断更新迭代并开源，越来越多的开发者对swift充满信心并热切学习，相信在不久的未来，Swift将成为ios开发的标准语言。当前swift已经更新到2.2版本，本次课程将带领大家掌握并熟练运用swift2.2语法特性，深入理解并掌握swift中函数编程，oop编程和pop编程。","http://www.maiziedu.com/course/772/","http://www.maiziedu.com/uploads/course/2016/04/Swift-2.2jc.jpg","end","24533","iOS开发语言 swift 2.2基础","normal"
"ios应用开发","当今信息化时代，信息就是利润，数据就是企业的命根子，尤其是进入到大数据时代后，爆炸性的数据无时无刻不在影响着人们的生活。如何存储数据，保护数据从而利用“大数据”带来的巨大价值成为每个企业必须的课题。本课程将向大家介绍计算机存储的相关知识，只有把数据存储的得当，才能更好地利用和分析数据。
本课程将对计算机存储相关技术：RAID, LVM, DAS, NAS, SAN, FC, Iscsi, 数据保护和备份， 容灾做详细介绍和实例分析。","http://www.maiziedu.com/course/850/","http://www.maiziedu.com/uploads/course/2016/07/jisuanji.png","end","5456","计算机存储","vip"
"ios应用开发","  在移动互联网快速发展的今天，掌握一门移动开发技能显得格外重要.iOS开发入门适用于零基础的和想从事移动开发的开发人员，在课程结束之后，能熟悉整个iOS开发流程，掌握开发中常用的技能，对iOS开发有一个全局的认识。","http://www.maiziedu.com/course/791/","http://www.maiziedu.com/uploads/course/2016/05/ioskfrm.jpg","end","13318","ios开发入门","normal"
"android应用开发","Android智能手机的迅猛发展，巨大的市场份额激发很多传统IT公司转向APP应用开发，未来十年Android APP开发工程师仍然是炙手可热的职位。本课程将通过实践教会你Andriod应用开发最常用的元素-Activity，快速入门Android应用开发。","http://www.maiziedu.com/course/691/","http://www.maiziedu.com/uploads/course/2016/04/Activity.jpg","end","44691","安卓应用开发-Activity","normal"
"android应用开发","本系列课程将通过一个HelloWorld实例教会大家如何快速新建自己的Android工程，
介绍Android Studio工程目录结构，并分析工程目录中各部件的作用
通过Logcat打印日志，方便开发者观察程序是否如我所愿的运行，debug模式添加断点调试应用程序，常用的adb命令，DDMS工具分析应用程序的性能.","http://www.maiziedu.com/course/741/","http://www.maiziedu.com/uploads/course/2016/04/Android_XX3zL0o.png","end","12352","Android Studio 开发起手式-HelloWorld二三事","normal"
"android应用开发","详细介绍Android的存储机制实现。使用小项目的形式呈现知识点的运用。","http://www.maiziedu.com/course/744/","http://www.maiziedu.com/uploads/course/2016/06/Android-sjjc.png","end","22376","Android数据存储基础","normal"
"android应用开发","Android网络编程","http://www.maiziedu.com/course/752/","http://www.maiziedu.com/uploads/course/2016/07/1_4G7urd5.png","end","28342","Android网络编程基础","normal"
"android应用开发","熟练掌握Android基础控件、五大布局的用法，熟练掌握容器控件ListView、ViewPager、RecyclerView的用法，学会定制自己的应用主题和样式，熟练掌握View的测量布局绘制流程，并学会自定义View，打造自己的个性化View。","http://www.maiziedu.com/course/810/","http://www.maiziedu.com/uploads/course/2016/06/jcuikj.png","end","22549","Android基础UI控件","normal"
"android应用开发","详细介绍Android的存储机制实现。使用小项目的形式呈现知识点的运用。","http://www.maiziedu.com/course/815/","http://www.maiziedu.com/uploads/course/2016/06/Android-sjsz.png","end","5928","Android数据存储实战","vip"
"android应用开发","Android网络编程","http://www.maiziedu.com/course/816/","http://www.maiziedu.com/uploads/course/2016/06/Android-wlbcsz.png","end","8623","Android网络编程实战","vip"
"android应用开发","本套Android broadcast教程，主要是为大家介绍android广播接收器注册、自定义、生命周期、安全性、防火墙等相关知识，方便大家轻松掌握android语言中的这一重要知识点。","http://www.maiziedu.com/course/854/","http://www.maiziedu.com/uploads/course/2016/07/Android-broadcast.png","end","6922","Android broadcast","normal"
"web前端开发","Java  web前端开发常用技术之一，可快速构建极具客户体验度的应用。本课程由有着多年实战开发的资深web前端开发工程师朱朝兵老师为大家录制，从html5+css3基础知识，到实战案例分析，实际操作，均有详细讲解。
","http://www.maiziedu.com/course/352/","http://www.maiziedu.com/uploads/course/2015/07/4.1Web前端开发之HTML5CSS3快速入门.jpg","end","73206","Web前端开发之HTML5+CSS3快速入门","vip"
"web前端开发","java  web开发中，javascript是web前端设计最主要的技术之一，本节将由麦子学院资深前端开发工程师就javascript的相关知识进行全面深入的介绍和实操演练，让你感受前端设计的美妙。
","http://www.maiziedu.com/course/353/","http://www.maiziedu.com/uploads/course/2016/06/javascript_PbpyegX.jpg","end","34199","Javascript初步","normal"
"web前端开发","JQuery作为java  web前端开发主要技术之一，是java开发中必须掌握的基础知识。本章将由硅谷资深JQuery工程师全面系统为您讲解其相关知识体系并通过案例形象展示其使用方式方法。","http://www.maiziedu.com/course/354/","http://www.maiziedu.com/uploads/course/2015/07/1.3Web前端开发之jQuery入门课程_Qb7jYcv.jpg","end","16844","Web前端开发之jQuery入门课程","vip"
"web前端开发","HTML+CSS是web前端开发基础课程，本章将由麦子学院资深web前端开发工程师为你全面讲解HTML和css的基本属性和用法，带你进入web前端开发的世界。","http://www.maiziedu.com/course/421/","http://www.maiziedu.com/uploads/course/2017/04/HTMLCSS.png","end","382440","HTML+CSS基础入门","vip"
"android应用开发","service是android系统中的一种组件，本套android service课程主要是为大家介绍service生命周期、活动通信、远程服务、前台服务与综合应用相关知识，方便大家快速掌握android这一组件。","http://www.maiziedu.com/course/855/","http://www.maiziedu.com/uploads/course/2016/07/Android-service.png","end","7489","Android service","normal"
"android应用开发","Volley是Android平台上的网络通信库，能使网络通信更快，更简单，更健壮。xUtils 最初源于Afinal框架，进行了大量重构，使得xUtils支持大文件上传，更全面的http请求协议支持(10种谓词)，拥有更加灵活的ORM，更多的事件注解支持且不受混淆影响...","http://www.maiziedu.com/course/875/","http://www.maiziedu.com/uploads/course/2016/08/3.png","end","5626","Android第三方框架使用-Volley和xUtils的使用","vip"
"android应用开发","学习Android自定义控件的三种方式，详细案例分析。看完本课程，能够自己编写自定义控件","http://www.maiziedu.com/course/895/","http://www.maiziedu.com/uploads/course/2016/09/Android.png","end","8823","Android自定义控件","vip"
"android应用开发","本课程将学习Android编程中的多线程和异步任务相关操作，帮助学员理解、掌握android多线程、android异步任务相关理论知识的同时，也能将这些理论运用于具体实践。","http://www.maiziedu.com/course/918/","http://www.maiziedu.com/uploads/course/2016/09/111.jpg","on","7078","Android多线程和异步任务","normal"
"web前端开发","HTML+CSS是web前端开发基础课程，本章将由麦子学院资深web前端开发工程师为你全面讲解HTML和css的基本属性和用法，带你进入web前端开发的世界。","http://www.maiziedu.com/course/425/","http://www.maiziedu.com/uploads/course/2015/07/1.1HTMLCSS.jpg","end","209459","Web前端开发之HTML+CSS基础入门","vip"
"web前端开发","WEB系统基础","http://www.maiziedu.com/course/427/","http://www.maiziedu.com/uploads/course/2015/07/2.1web系统基础.jpg","end","23318","WEB系统基础","vip"
"web前端开发","这是一门Web前端开发项目课程，手把手教你如何进行企业门户网站开发，你将系统的学到DIV+CSS页面布局，图片广告，图片列表制作，菜单制作，及二级菜单实现原理，轮换广告JS特效，无缝图片列表等的实现。","http://www.maiziedu.com/course/489/","http://www.maiziedu.com/uploads/course/2015/07/2.2手把手带你_做企业门户前端.jpg","end","29684","高级工程师手把手带你做企业门户前端","vip"
"web前端开发","less从入门到精通 ","http://www.maiziedu.com/course/497/","http://www.maiziedu.com/uploads/course/2017/04/Less.png","end","58436","less从入门到精通 ","vip"
"web前端开发","讲述Web前端MVC框架——Backbone的基本使用方法。目标是让学员理解前端MVC思想，掌握Backbone的使用方法，掌握单页面Web应用的开发方法。","http://www.maiziedu.com/course/507/","http://www.maiziedu.com/uploads/course/2015/07/2.4Backbone入门基础-.jpg","end","25420","Backbone入门基础","vip"
"android应用开发","美图秀秀以丰富有趣的照片处理方式，同时紧抓“人人都有爱美之心”的大众心理，通过高品质的像素转换，在短短几年内吸引了千万级庞大用户量。针对此应用，我们在体验一张张美艳的照片制作过程中，让我们对android中的自定义控件，绘画算法，自定义相机，图片像素转换和android内存的优化技术深入了解掌握，真正让android开发水平更上一层楼","http://www.maiziedu.com/course/941/","http://www.maiziedu.com/uploads/course/2016/10/2_brafZBw.png","end","7279","Android仿美图秀秀实战 （下）","vip"
"android应用开发","语言只是载体，思想才是核心。学会了语言就像一个人有了强健的体魄，没有设计思想永远无法做出优秀的软件。本课程就是让你从0开始了解什么是软件设计的基本思想和常见的模式。","http://www.maiziedu.com/course/867/","http://www.maiziedu.com/uploads/course/2016/08/sjms.jpg","end","16100","设计模式","vip"
"web前端开发","希望能够通过本套课程的学习，使之前没有接触过移动端开发的同学，能够熟练进行移动端开发，并能拥有差不多2年移动端开发经验，提高同学的前端架构能力。","http://www.maiziedu.com/course/513/","http://www.maiziedu.com/uploads/course/2015/08/移动前段实训课程.jpg","on","49092","移动前端开发项目","vip"
"web前端开发","学习这个课程，使你能够胜任前端网页工程师岗位，能够熟练掌握网页布局模式以及常用的CSS样式；能根据需求分析，设计JavaScript特效；根据效果图使用DIV+CSS布局出相应的网页。","http://www.maiziedu.com/course/519/","http://www.maiziedu.com/uploads/course/2015/08/麦子商城.jpg","end","29877","麦子商城项目制作","vip"
"web前端开发","这是一门CSS相关的进阶教程，目标是让你把知识从“会用”变成“用好”，让你从“会写代码”过渡到“会写高质量代码”。
","http://www.maiziedu.com/course/533/","http://www.maiziedu.com/uploads/course/2015/08/用SAAAA.jpg","end","24764","利用Sass编写高质量CSS","vip"
"web前端开发","企业网站后台制作实战","http://www.maiziedu.com/course/535/","http://www.maiziedu.com/uploads/course/2015/08/网站后台.jpg","end","23326","企业网站后台制作实战","vip"
"web前端开发","这门课程会帮助你学会正确的使用KnockOut框架，可以熟练运用KnockOut框架开发实际项目，提高项目的开发效率，使项目更易维护和扩展。","http://www.maiziedu.com/course/536/","http://www.maiziedu.com/uploads/course/2015/08/1.7KnockOut从入门到精通.jpg","end","14625","KnockOut从入门到精通","vip"
"web前端开发","bootstrap综合实战","http://www.maiziedu.com/course/543/","http://www.maiziedu.com/uploads/course/2015/09/bootstrap综合实战.jpg","end","70783","bootstrap综合实战","vip"
"机器学习","算法：时间序列AIRMA模型
","http://www.maiziedu.com/course/1001/","http://www.maiziedu.com/uploads/course/2017/11/sefcwegf3e_ouuggSk.jpg","on","2503","算法：时间序列AIRMA模型","vip"
"机器学习","案例：时间序列预测任务
","http://www.maiziedu.com/course/1002/","http://www.maiziedu.com/uploads/course/2017/11/sefcwegf3e_JlLeWwK.jpg","on","2482","案例：时间序列预测任务","vip"
"机器学习","算法：Xgboost提升算法
","http://www.maiziedu.com/course/1003/","http://www.maiziedu.com/uploads/course/2017/11/sefcwegf3e_uzooXB1.jpg","on","2967","算法：Xgboost提升算法","vip"
"机器学习","非线性支持向量机","http://www.maiziedu.com/course/967/","http://www.maiziedu.com/uploads/course/2017/11/sefcwegf3e_OcGW5UG.jpg","on","2457","非线性支持向量机","vip"
"机器学习","TensorFlow，以下简称TF，是Google去年发布的机器学习平台，发布以后由于其速度快，扩展性好，推广速度还是蛮快的。江湖上流传着Google的大战略，Android占领了移动端，TF占领神经网络提供AI服务，未来的趋势恰好是语音图像以及AI的时代，而Google IO上发布的Gbot似乎正是这一交叉领域的初步尝试。","http://www.maiziedu.com/course/964/","http://www.maiziedu.com/uploads/course/2017/05/tensorflow.png","on","6783","Tensorflow框架","vip"
"机器学习","pandas是一个流行的开源Python项目，它的名称取panel data（面板数据，一个计量经济学的术语）和Python data analysis（Python数据分析）的意思。本课程将详细为大家介绍pandas在数据分析中的相关用法。","http://www.maiziedu.com/course/955/","http://www.maiziedu.com/uploads/course/2017/05/pandas.png","on","4822","数据分析处理库Pandas","vip"
"机器学习","seaborn是斯坦福大学出的一个非常好用的可视化包。为了控制matplotlib图表的外观，seaborn模块自带许多定制的主题和高级的接口。本套课程和大家介绍的主要是Seaborn可视化库绘图方法的演示，基于模板展示可视化效果。
","http://www.maiziedu.com/course/993/","http://www.maiziedu.com/uploads/course/2017/08/Skshk.png","on","2759","Seaborn可视化库","vip"
"机器学习","KMEANS聚类
","http://www.maiziedu.com/course/999/","http://www.maiziedu.com/uploads/course/2017/11/sefcwegf3e_ejm76Uq.jpg","on","3863","KMEANS聚类","vip"
"ui & 平面","基础VI设计（上）首先带你学习认识VI，了解VI的作用以及它在一个企业里所扮演的角色，通过实际操作，从基本版面设计开始，按章学习，最后能够独立完成一整套VI的设计。","http://www.maiziedu.com/course/846/","http://www.maiziedu.com/uploads/course/2016/07/1_2JhBl6Z.png","end","3850","基础VI设计（上）","vip"
"ui & 平面","  色彩构成（Interaction of Color），即色彩的相互作用，是从人对色彩的知觉和心理效果出发，用科学分析的方法，把复杂的色彩现象还原为基本要素，利用色彩在空间、量与质上的可变幻性，按照一定的规律去组合各构成之间的相互关系，再创造出新的色彩效果的过程。色彩构成是艺术设计的基础理论之一，它与平面构成及立体构成有着不可分割的关系，色彩不能脱离形体、空间、位置、面积、肌理等而独立存在。","http://www.maiziedu.com/course/835/","http://www.maiziedu.com/uploads/course/2016/07/1_unX4k5h.png","end","9129","色彩构成","normal"
"ui & 平面","平面构成是视觉元素在二次元的平面上，按照美的视觉效果，力学的原理，进行编排和组合，它是以理性和逻辑推理来创造形象、研究形象与形象之间的排列的方法。是理性与感性相结合的产物。研究在二维平面内创造理想形态，或是将既有的形态（具象或抽象形态）按照一定原理进行分解，组合，从而构成多种理想的视觉形式的造型设计基础课程。","http://www.maiziedu.com/course/861/","http://www.maiziedu.com/uploads/course/2016/08/pmgc.jpg","end","12199","平面构成","normal"
"ui & 平面","立体构成是一门研究形态创造与造型设计的课程，所涉及的范畴也是十分广泛，如工业造型设计、建筑设计、雕塑设计、室内设计等。立体构成是现代造型与艺术设计领域的基础学科，也是步入艺术行业必修的一门课程。","http://www.maiziedu.com/course/862/","http://www.maiziedu.com/uploads/course/2016/08/ltgc.png","end","7130","立体构成","normal"
"ui & 平面",".掌握After Effects在影视合成方面的二维合成、三维合成、抠像等
.影视合成中重要的多种追踪技巧。
.利用PS软件完成效果图的设计 讲解专业设计理念的一些知识
.帮助提升After Effects 综合运用能力的艺术化效果模拟、粒子制作、仿真效果等综合案例","http://www.maiziedu.com/course/838/","http://www.maiziedu.com/uploads/course/2016/07/AE.png","end","5203","影视后期（AE)","normal"
"ui & 平面","1、了解书籍装帧设计的分类及其中的异同点；
2、了解画册印刷制作的常见工艺；
3、掌握实践一本企业画册从0到印刷成品的全部设计和制作流程。","http://www.maiziedu.com/course/853/","http://www.maiziedu.com/uploads/course/2016/07/shujizhuangzhen.png","end","3503","书籍装帧设计项目","normal"
"ui & 平面","插画艺术概述、现代插画形式、现代插画工具分类、插画的艺术风格、插画常用技法（构图、造型、色彩、细节塑造、光影）、创意培训方式、图形创意表现方法、手绘准备的工具介绍、实例操作。","http://www.maiziedu.com/course/865/","http://www.maiziedu.com/uploads/course/2016/08/sych.jpg","end","4709","商业插画","normal"
"ui & 平面","•  利用AI软件完成矢量绘制部分的工作
•  利用PS软件完成效果图的设计
• 了解并熟练掌握包装设计的制作以及创意流程","http://www.maiziedu.com/course/866/","http://www.maiziedu.com/uploads/course/2016/08/bzsj.jpg","end","3739","包装设计","normal"
"ui & 平面","本套课程主要是帮助大家了解海报的历史 、海报的表现形式和作用 、海报的设计风格和排版规则 、商业海报的实战应用等相关广告海报设计知识。","http://www.maiziedu.com/course/915/","http://www.maiziedu.com/uploads/course/2016/09/123_mPFN8x8.png","end","3883","广告海报设计","vip"
"ui & 平面","本套课程主要学习CorelDRAW软件的基本工具并配以相关案例演示，让学员在短时间内极速掌握CorelDRAW在平面设计以及相关领域的运用。","http://www.maiziedu.com/course/890/","http://www.maiziedu.com/uploads/course/2016/09/coreldraw-X8.png","end","2398","coreldraw X8极速上手","normal"
"产品&运营","品牌－你的产品及服务“人格特征”，策划－搭建骨架，内容－你的血肉，推广－血管输送，拉粉－循环系统，转－转化用户。","http://www.maiziedu.com/course/891/","http://www.maiziedu.com/uploads/course/2017/04/liuzijue.png","end","13438","运营六字诀-从品牌到转化","normal"
"产品&运营"," 认识新媒体，能够基本掌握新媒体工作内容和技能，同时能够自主进行内容创作、粉丝获取、视频音频制作、制定新媒体运营策略。学习了本课程后，可以对新媒体工作内容和方式有比较清晰的了解，并在工作中学以致用。","http://www.maiziedu.com/course/885/","http://www.maiziedu.com/uploads/course/2017/04/yunyingjichu.png","on","32428","新媒体运营基础","vip"
"产品&运营","在社会化营销时代，微信公众号已成为企业、机构和个人营销推广的标配，本课程为您详细解读微信运营，让新媒体不再神秘！","http://www.maiziedu.com/course/869/","http://www.maiziedu.com/uploads/course/2017/04/weixin.png","end","27478","从零开始学微信运营","normal"
"产品&运营","这是一门微博运营和微博营销的实战课程，课程会从微博运营理念、工具、内容组织、粉丝运营、数据分析、广告投放等多方面通过案例剖析、实战讲解告诉微博运营人员如何实现营销目标。","http://www.maiziedu.com/course/821/","http://www.maiziedu.com/uploads/course/2016/07/1.jpg","end","6585","微博运营实战指南","vip"
"产品&运营","还在为文案选题、取标题烦恼吗？麦子学院CEO、金牌讲师Sundy，从文案分类、文案创作7步骤、文案创意15法，到文案创作PDCA循环，10节课，全面吃透文案，让你轻松写出上万+阅读量文案，不再为文案扣脑袋。","http://www.maiziedu.com/course/842/","http://www.maiziedu.com/uploads/course/2017/06/111111111.png","end","13633","文案训练手册-写作技巧大全","normal"
"产品&运营","活动策划的核心及目的，文案撰写技巧，项目推荐表及推广计划，线上线下各种活动的策划及执行细节，新媒体活动设计，活动氛围设计。活动的话术设计、数据分析等技术。学完后可胜任活动策划与执行类工作。","http://www.maiziedu.com/course/819/","http://www.maiziedu.com/uploads/course/2017/04/huodong.png","end","12709","活动运营","vip"
"产品&运营","通过理论和实操，讲解用户运营的基本概念和运营之道，通过学习，能够用有效的方法获取到产品或者平台的第一批种子用户，建立清晰的用户画像模型，自主用数据分析工具，提高用户的留存率、活跃率，降低用户的流失率。","http://www.maiziedu.com/course/903/","http://www.maiziedu.com/uploads/course/2016/09/yhyy.png","end","9650","用户运营－粉丝池的建立及运营","normal"
